id_nota,filial,cidade,tipo_cliente,genero,linha_produto,preco_unitario,quantidade,imposto,total_venda,cogs,lucro_bruto,data_venda,hora_venda,metodo_pagamento,avaliacao
126-54-1082,A,Yangon,Member,Female,"Home and lifestyle",21.54,9,9.69,203.55,193.86,9.69,2019-01-07,11:44:00,"Credit card",8.8
127-47-6963,A,Yangon,Normal,Male,"Health and beauty",51.71,4,10.34,217.18,206.84,10.34,2019-03-09,13:53:00,"Credit card",9.8
129-29-8530,A,Yangon,Member,Male,"Sports and travel",62.62,5,15.66,328.76,313.10,15.66,2019-03-10,19:15:00,Ewallet,7.0
130-67-4723,A,Yangon,Member,Male,"Food and beverages",48.50,6,14.55,305.55,291.00,14.55,2019-01-11,13:57:00,Ewallet,9.4
130-98-8941,C,Naypyitaw,Normal,Male,"Fashion accessories",64.26,7,22.49,472.31,449.82,22.49,2019-02-09,10:00:00,Cash,5.7
131-15-8856,C,Naypyitaw,Member,Female,"Food and beverages",72.52,8,29.01,609.17,580.16,29.01,2019-03-30,19:26:00,"Credit card",4.0
131-70-8179,A,Yangon,Member,Female,"Health and beauty",92.09,3,13.81,290.08,276.27,13.81,2019-02-17,16:27:00,Cash,4.2
132-23-6451,A,Yangon,Member,Male,"Health and beauty",20.97,5,5.24,110.09,104.85,5.24,2019-01-04,13:21:00,Cash,7.8
132-32-9879,B,Mandalay,Member,Female,"Electronic accessories",93.96,4,18.79,394.63,375.84,18.79,2019-03-09,18:00:00,Cash,9.5
133-14-7229,C,Naypyitaw,Normal,Male,"Health and beauty",62.87,2,6.29,132.03,125.74,6.29,2019-01-01,11:43:00,Cash,5.0
133-77-3154,B,Mandalay,Member,Male,"Fashion accessories",60.18,4,12.04,252.76,240.72,12.04,2019-02-16,18:04:00,"Credit card",9.4
134-54-4720,B,Mandalay,Normal,Female,"Electronic accessories",42.42,8,16.97,356.33,339.36,16.97,2019-01-30,13:58:00,Ewallet,5.7
134-75-2619,A,Yangon,Member,Male,"Electronic accessories",19.32,7,6.76,142.00,135.24,6.76,2019-03-25,18:51:00,Cash,6.9
135-13-8269,B,Mandalay,Member,Female,"Food and beverages",78.88,2,7.89,165.65,157.76,7.89,2019-01-26,16:04:00,Cash,9.1
135-84-8019,A,Yangon,Normal,Female,"Fashion accessories",77.93,9,35.07,736.44,701.37,35.07,2019-02-27,16:10:00,Ewallet,7.6
136-08-6195,A,Yangon,Normal,Female,"Home and lifestyle",69.96,8,27.98,587.66,559.68,27.98,2019-02-15,17:01:00,"Credit card",6.4
137-63-5492,C,Naypyitaw,Normal,Male,"Electronic accessories",58.76,10,29.38,616.98,587.60,29.38,2019-01-29,14:26:00,Ewallet,9.0
137-74-8729,C,Naypyitaw,Normal,Female,"Fashion accessories",12.19,8,4.88,102.40,97.52,4.88,2019-03-13,12:47:00,Ewallet,6.8
138-17-5109,A,Yangon,Member,Female,"Home and lifestyle",89.21,9,40.14,843.03,802.89,40.14,2019-01-15,15:42:00,"Credit card",6.5
139-20-0155,B,Mandalay,Member,Male,"Electronic accessories",40.30,10,20.15,423.15,403.00,20.15,2019-01-24,17:37:00,"Credit card",7.0
139-32-4183,A,Yangon,Member,Female,"Sports and travel",97.48,9,43.87,921.19,877.32,43.87,2019-03-14,14:19:00,Ewallet,7.4
139-52-2867,C,Naypyitaw,Normal,Female,"Fashion accessories",22.51,7,7.88,165.45,157.57,7.88,2019-02-13,10:50:00,"Credit card",4.8
142-63-6033,B,Mandalay,Normal,Male,"Home and lifestyle",92.36,5,23.09,484.89,461.80,23.09,2019-03-20,19:17:00,Ewallet,4.9
142-72-4741,C,Naypyitaw,Member,Male,"Fashion accessories",93.20,2,9.32,195.72,186.40,9.32,2019-02-28,18:37:00,"Credit card",6.0
144-51-6085,A,Yangon,Member,Male,"Home and lifestyle",70.74,4,14.15,297.11,282.96,14.15,2019-01-05,16:05:00,"Credit card",4.4
145-94-9061,B,Mandalay,Normal,Female,"Food and beverages",88.36,5,22.09,463.89,441.80,22.09,2019-01-25,19:48:00,Cash,9.6
146-09-5432,A,Yangon,Member,Male,"Food and beverages",35.04,9,15.77,331.13,315.36,15.77,2019-02-09,19:17:00,Ewallet,4.6
148-41-7930,C,Naypyitaw,Normal,Male,"Health and beauty",99.96,7,34.99,734.71,699.72,34.99,2019-01-23,10:33:00,Cash,6.1
148-82-2527,C,Naypyitaw,Member,Female,"Home and lifestyle",12.12,10,6.06,127.26,121.20,6.06,2019-03-05,13:44:00,"Credit card",8.4
149-14-0304,C,Naypyitaw,Member,Female,"Health and beauty",28.50,8,11.40,239.40,228.00,11.40,2019-02-06,14:24:00,Cash,6.6
149-15-7606,B,Mandalay,Member,Male,"Sports and travel",37.32,9,16.79,352.67,335.88,16.79,2019-03-06,15:31:00,Ewallet,5.1
149-61-1929,A,Yangon,Normal,Male,"Sports and travel",64.19,10,32.10,674.00,641.90,32.10,2019-01-19,14:08:00,"Credit card",6.7
149-71-6266,B,Mandalay,Member,Male,"Sports and travel",78.07,9,35.13,737.76,702.63,35.13,2019-01-28,12:43:00,Cash,4.5
150-89-8043,A,Yangon,Normal,Male,"Sports and travel",44.65,3,6.70,140.65,133.95,6.70,2019-02-14,15:04:00,Cash,6.2
151-16-1484,A,Yangon,Member,Male,"Electronic accessories",32.25,4,6.45,135.45,129.00,6.45,2019-02-13,12:38:00,Ewallet,6.5
151-27-8496,C,Naypyitaw,Normal,Female,"Electronic accessories",56.13,4,11.23,235.75,224.52,11.23,2019-01-19,11:43:00,Ewallet,8.6
151-33-7434,B,Mandalay,Normal,Female,"Food and beverages",67.77,1,3.39,71.16,67.77,3.39,2019-02-04,20:43:00,"Credit card",6.5
152-03-4217,B,Mandalay,Normal,Female,"Home and lifestyle",11.28,9,5.08,106.60,101.52,5.08,2019-03-17,11:55:00,"Credit card",4.3
152-08-9985,B,Mandalay,Member,Male,"Health and beauty",64.36,9,28.96,608.20,579.24,28.96,2019-03-12,12:09:00,"Credit card",8.6
152-68-2907,A,Yangon,Normal,Male,"Food and beverages",52.20,3,7.83,164.43,156.60,7.83,2019-02-15,13:30:00,"Credit card",9.5
153-58-4872,C,Naypyitaw,Member,Female,"Food and beverages",74.89,4,14.98,314.54,299.56,14.98,2019-03-01,15:32:00,Ewallet,4.2
154-74-7179,B,Mandalay,Normal,Male,"Sports and travel",54.45,1,2.72,57.17,54.45,2.72,2019-02-26,19:24:00,Ewallet,7.9
154-87-7367,C,Naypyitaw,Normal,Male,"Home and lifestyle",65.26,8,26.10,548.18,522.08,26.10,2019-03-15,14:04:00,Ewallet,6.3
155-45-3814,C,Naypyitaw,Member,Female,"Electronic accessories",88.55,8,35.42,743.82,708.40,35.42,2019-03-19,15:29:00,Ewallet,4.7
156-20-0370,B,Mandalay,Normal,Female,"Electronic accessories",25.45,1,1.27,26.72,25.45,1.27,2019-03-10,18:10:00,"Credit card",5.1
156-95-3964,A,Yangon,Normal,Female,"Food and beverages",55.39,4,11.08,232.64,221.56,11.08,2019-03-25,15:19:00,Ewallet,8.0
157-13-5295,A,Yangon,Member,Male,"Health and beauty",51.94,10,25.97,545.37,519.40,25.97,2019-03-09,18:24:00,Ewallet,6.5
160-22-2687,A,Yangon,Member,Female,"Health and beauty",95.95,5,23.99,503.74,479.75,23.99,2019-01-23,14:21:00,Ewallet,8.8
162-48-8011,A,Yangon,Member,Female,"Food and beverages",44.59,5,11.15,234.10,222.95,11.15,2019-02-10,15:10:00,Cash,8.5
162-65-8559,C,Naypyitaw,Member,Male,"Food and beverages",68.98,1,3.45,72.43,68.98,3.45,2019-01-21,20:13:00,Cash,4.8
163-56-7055,C,Naypyitaw,Member,Male,"Fashion accessories",48.71,1,2.44,51.15,48.71,2.44,2019-03-26,19:20:00,Cash,4.1
166-19-2553,A,Yangon,Member,Male,"Sports and travel",89.06,6,26.72,561.08,534.36,26.72,2019-01-18,17:26:00,Cash,9.9
169-52-4504,A,Yangon,Normal,Female,"Electronic accessories",15.69,3,2.35,49.42,47.07,2.35,2019-03-14,14:13:00,"Credit card",5.8
172-42-8274,B,Mandalay,Normal,Female,"Electronic accessories",38.27,2,3.83,80.37,76.54,3.83,2019-03-02,18:18:00,"Credit card",5.8
173-50-1108,B,Mandalay,Member,Female,"Sports and travel",20.18,4,4.04,84.76,80.72,4.04,2019-02-13,12:14:00,"Credit card",5.0
173-57-2300,C,Naypyitaw,Member,Male,"Sports and travel",72.88,2,7.29,153.05,145.76,7.29,2019-03-13,12:51:00,Cash,6.1
173-82-9529,B,Mandalay,Normal,Female,"Fashion accessories",37.95,10,18.98,398.48,379.50,18.98,2019-01-26,14:51:00,Cash,9.7
174-36-3675,C,Naypyitaw,Member,Male,"Food and beverages",99.37,2,9.94,208.68,198.74,9.94,2019-02-14,17:29:00,Cash,5.2
174-64-0215,B,Mandalay,Normal,Male,"Sports and travel",69.74,10,34.87,732.27,697.40,34.87,2019-03-05,17:49:00,"Credit card",8.9
174-75-0888,B,Mandalay,Normal,Male,"Electronic accessories",21.58,9,9.71,203.93,194.22,9.71,2019-03-14,12:32:00,Cash,7.3
175-54-2529,A,Yangon,Member,Male,"Food and beverages",22.17,8,8.87,186.23,177.36,8.87,2019-03-03,17:01:00,"Credit card",9.6
176-64-7711,B,Mandalay,Normal,Male,"Food and beverages",32.32,3,4.85,101.81,96.96,4.85,2019-03-27,19:11:00,"Credit card",4.3
176-78-1170,C,Naypyitaw,Member,Male,"Health and beauty",33.81,3,5.07,106.50,101.43,5.07,2019-01-26,15:11:00,Ewallet,7.3
181-82-6255,B,Mandalay,Normal,Female,"Home and lifestyle",16.37,6,4.91,103.13,98.22,4.91,2019-02-08,10:58:00,Cash,7.0
181-94-6432,C,Naypyitaw,Member,Male,"Fashion accessories",69.33,2,6.93,145.59,138.66,6.93,2019-02-05,19:05:00,Ewallet,9.7
182-52-7000,A,Yangon,Member,Female,"Sports and travel",27.04,4,5.41,113.57,108.16,5.41,2019-01-01,20:26:00,Ewallet,6.9
182-69-8360,B,Mandalay,Normal,Female,"Electronic accessories",23.65,4,4.73,99.33,94.60,4.73,2019-01-30,13:32:00,"Credit card",4.0
182-88-2763,B,Mandalay,Member,Male,"Food and beverages",79.91,3,11.99,251.72,239.73,11.99,2019-03-20,19:28:00,"Credit card",5.0
183-21-3799,C,Naypyitaw,Normal,Female,"Electronic accessories",77.63,9,34.93,733.60,698.67,34.93,2019-02-19,15:14:00,Ewallet,7.2
183-56-6882,C,Naypyitaw,Member,Female,"Food and beverages",99.42,4,19.88,417.56,397.68,19.88,2019-02-06,10:42:00,Ewallet,7.5
186-09-3669,C,Naypyitaw,Member,Female,"Health and beauty",81.51,1,4.08,85.59,81.51,4.08,2019-01-22,10:57:00,Ewallet,9.2
186-43-8965,A,Yangon,Member,Female,"Home and lifestyle",47.68,2,4.77,100.13,95.36,4.77,2019-02-24,10:10:00,"Credit card",4.1
186-71-5196,A,Yangon,Member,Female,"Food and beverages",79.54,2,7.95,167.03,159.08,7.95,2019-03-27,16:30:00,Ewallet,6.2
186-79-9562,B,Mandalay,Normal,Male,"Health and beauty",71.77,7,25.12,527.51,502.39,25.12,2019-03-29,14:06:00,Cash,8.9
187-83-5490,A,Yangon,Member,Male,"Electronic accessories",20.77,4,4.15,87.23,83.08,4.15,2019-01-31,13:47:00,Cash,4.7
188-55-0967,B,Mandalay,Member,Male,"Health and beauty",66.47,10,33.24,697.94,664.70,33.24,2019-01-15,15:01:00,"Credit card",5.0
189-08-9157,C,Naypyitaw,Normal,Female,"Fashion accessories",31.73,9,14.28,299.85,285.57,14.28,2019-01-08,16:17:00,"Credit card",5.9
189-17-4241,A,Yangon,Normal,Female,"Fashion accessories",87.67,2,8.77,184.11,175.34,8.77,2019-03-10,12:17:00,"Credit card",7.7
189-40-5216,C,Naypyitaw,Normal,Male,"Electronic accessories",96.37,7,33.73,708.32,674.59,33.73,2019-01-09,11:40:00,Cash,6.0
189-52-0236,A,Yangon,Normal,Male,"Electronic accessories",99.55,7,34.84,731.69,696.85,34.84,2019-03-14,12:07:00,Cash,7.6
189-55-2313,C,Naypyitaw,Normal,Female,"Fashion accessories",62.18,10,31.09,652.89,621.80,31.09,2019-01-31,10:33:00,Ewallet,6.0
189-98-2939,C,Naypyitaw,Normal,Male,"Fashion accessories",78.55,9,35.35,742.30,706.95,35.35,2019-03-01,13:22:00,Cash,7.2
190-14-3147,B,Mandalay,Normal,Female,"Health and beauty",17.97,4,3.59,75.47,71.88,3.59,2019-02-23,20:43:00,Ewallet,6.4
190-59-3964,B,Mandalay,Member,Male,"Food and beverages",47.16,5,11.79,247.59,235.80,11.79,2019-02-03,14:35:00,"Credit card",6.0
191-10-6171,B,Mandalay,Normal,Female,"Fashion accessories",39.62,7,13.87,291.21,277.34,13.87,2019-01-25,13:18:00,Cash,7.5
191-29-0321,B,Mandalay,Member,Female,"Fashion accessories",19.77,10,9.89,207.59,197.70,9.89,2019-02-27,18:57:00,"Credit card",5.0
192-98-7397,C,Naypyitaw,Normal,Male,"Fashion accessories",12.78,1,0.64,13.42,12.78,0.64,2019-01-08,14:11:00,Ewallet,9.5
195-06-0432,A,Yangon,Member,Male,"Home and lifestyle",81.01,3,12.15,255.18,243.03,12.15,2019-01-13,12:55:00,"Credit card",9.3
196-01-2849,C,Naypyitaw,Member,Female,"Fashion accessories",73.38,7,25.68,539.34,513.66,25.68,2019-02-10,13:56:00,Cash,9.5
197-77-7132,B,Mandalay,Member,Male,"Electronic accessories",91.56,8,36.62,769.10,732.48,36.62,2019-01-12,18:22:00,Ewallet,6.0
198-66-9832,B,Mandalay,Member,Female,"Fashion accessories",72.04,2,7.20,151.28,144.08,7.20,2019-02-04,19:38:00,Cash,9.5
198-84-7132,B,Mandalay,Member,Male,"Fashion accessories",40.61,9,18.27,383.76,365.49,18.27,2019-01-02,13:40:00,Cash,7.0
199-75-8169,A,Yangon,Member,Male,"Sports and travel",15.81,10,7.91,166.01,158.10,7.91,2019-03-06,12:27:00,"Credit card",8.6
200-16-5952,C,Naypyitaw,Member,Male,"Food and beverages",65.65,2,6.57,137.87,131.30,6.57,2019-01-17,16:46:00,Cash,6.0
200-40-6154,B,Mandalay,Member,Male,"Home and lifestyle",65.91,6,19.77,415.23,395.46,19.77,2019-02-09,11:45:00,Cash,5.7
201-63-8275,C,Naypyitaw,Member,Female,"Sports and travel",67.99,7,23.80,499.73,475.93,23.80,2019-02-17,16:50:00,Ewallet,5.7
201-86-2184,B,Mandalay,Member,Female,"Electronic accessories",26.26,7,9.19,193.01,183.82,9.19,2019-02-02,19:40:00,Cash,9.9
207-73-1363,B,Mandalay,Normal,Male,"Health and beauty",69.51,2,6.95,145.97,139.02,6.95,2019-03-01,12:15:00,Ewallet,8.1
209-61-0206,A,Yangon,Normal,Female,"Home and lifestyle",42.91,5,10.73,225.28,214.55,10.73,2019-01-05,17:29:00,Ewallet,6.1
210-30-7976,B,Mandalay,Member,Female,"Fashion accessories",22.32,4,4.46,93.74,89.28,4.46,2019-03-14,11:16:00,Ewallet,4.1
210-57-1719,B,Mandalay,Normal,Female,"Health and beauty",58.24,9,26.21,550.37,524.16,26.21,2019-02-05,12:34:00,Cash,9.7
210-67-5886,C,Naypyitaw,Member,Female,"Health and beauty",98.21,3,14.73,309.36,294.63,14.73,2019-02-05,10:41:00,"Credit card",7.8
210-74-9613,C,Naypyitaw,Normal,Male,"Fashion accessories",97.26,4,19.45,408.49,389.04,19.45,2019-03-16,15:33:00,Ewallet,6.8
211-05-0490,C,Naypyitaw,Member,Female,"Electronic accessories",51.92,5,12.98,272.58,259.60,12.98,2019-03-03,13:42:00,Cash,7.5
211-30-9270,C,Naypyitaw,Normal,Male,"Health and beauty",17.41,5,4.35,91.40,87.05,4.35,2019-01-28,15:16:00,"Credit card",4.9
212-62-1842,A,Yangon,Normal,Male,"Food and beverages",58.26,6,17.48,367.04,349.56,17.48,2019-03-28,16:44:00,Cash,9.9
213-32-1216,A,Yangon,Normal,Female,"Electronic accessories",66.06,6,19.82,416.18,396.36,19.82,2019-01-23,10:28:00,Cash,7.3
213-72-6612,A,Yangon,Normal,Male,"Food and beverages",43.25,2,4.33,90.83,86.50,4.33,2019-03-20,15:56:00,Cash,6.2
214-17-6927,C,Naypyitaw,Normal,Female,"Food and beverages",16.48,6,4.94,103.82,98.88,4.94,2019-02-07,18:23:00,Ewallet,9.9
214-30-2776,B,Mandalay,Member,Female,"Electronic accessories",34.49,5,8.62,181.07,172.45,8.62,2019-03-11,19:44:00,"Credit card",9.0
217-58-1179,A,Yangon,Member,Male,"Home and lifestyle",62.65,4,12.53,263.13,250.60,12.53,2019-01-05,11:25:00,Cash,4.2
218-59-9410,A,Yangon,Member,Female,"Home and lifestyle",72.42,3,10.86,228.12,217.26,10.86,2019-03-29,16:54:00,Ewallet,8.2
219-22-9386,B,Mandalay,Member,Male,"Sports and travel",99.96,9,44.98,944.62,899.64,44.98,2019-03-09,17:26:00,"Credit card",4.2
219-61-4139,C,Naypyitaw,Normal,Male,"Electronic accessories",83.08,1,4.15,87.23,83.08,4.15,2019-01-23,17:16:00,Ewallet,6.4
220-28-1851,A,Yangon,Normal,Male,"Home and lifestyle",34.73,2,3.47,72.93,69.46,3.47,2019-03-01,18:14:00,Ewallet,9.7
220-68-6701,A,Yangon,Normal,Female,"Home and lifestyle",77.47,4,15.49,325.37,309.88,15.49,2019-03-17,16:36:00,Cash,4.2
221-25-5073,A,Yangon,Normal,Female,"Food and beverages",74.66,4,14.93,313.57,298.64,14.93,2019-03-04,10:39:00,Cash,8.5
222-42-0244,B,Mandalay,Member,Female,"Health and beauty",72.11,9,32.45,681.44,648.99,32.45,2019-01-28,13:53:00,"Credit card",7.7
225-32-0908,C,Naypyitaw,Normal,Female,"Sports and travel",44.86,10,22.43,471.03,448.60,22.43,2019-01-26,19:54:00,Ewallet,8.2
225-98-1496,C,Naypyitaw,Normal,Female,"Fashion accessories",27.02,3,4.05,85.11,81.06,4.05,2019-03-02,13:01:00,"Credit card",7.1
226-31-3081,C,Naypyitaw,Normal,Female,"Electronic accessories",15.28,5,3.82,80.22,76.40,3.82,2019-03-08,10:29:00,Cash,9.6
226-34-0034,B,Mandalay,Normal,Female,"Electronic accessories",13.78,4,2.76,57.88,55.12,2.76,2019-01-10,11:10:00,Ewallet,9.0
226-71-3580,C,Naypyitaw,Normal,Female,"Sports and travel",23.75,9,10.69,224.44,213.75,10.69,2019-01-31,12:02:00,Cash,9.5
227-03-5010,A,Yangon,Member,Female,"Home and lifestyle",52.59,8,21.04,441.76,420.72,21.04,2019-03-22,19:20:00,"Credit card",8.5
227-07-4446,C,Naypyitaw,Member,Female,"Electronic accessories",78.13,10,39.07,820.37,781.30,39.07,2019-02-10,20:51:00,Cash,4.4
227-50-3718,A,Yangon,Normal,Male,"Health and beauty",14.62,5,3.66,76.76,73.10,3.66,2019-03-04,12:23:00,Cash,4.4
227-78-1148,B,Mandalay,Normal,Female,"Fashion accessories",72.84,7,25.49,535.37,509.88,25.49,2019-02-15,12:44:00,Cash,8.4
228-96-1411,C,Naypyitaw,Member,Female,"Food and beverages",98.70,8,39.48,829.08,789.60,39.48,2019-03-04,20:39:00,Cash,7.6
232-11-3025,A,Yangon,Normal,Male,"Sports and travel",78.77,10,39.39,827.09,787.70,39.39,2019-01-24,10:04:00,Cash,6.4
232-16-2483,C,Naypyitaw,Member,Female,"Sports and travel",68.12,1,3.41,71.53,68.12,3.41,2019-01-07,12:28:00,Ewallet,6.8
233-34-0817,C,Naypyitaw,Member,Female,"Electronic accessories",98.84,1,4.94,103.78,98.84,4.94,2019-02-15,11:21:00,Cash,8.4
233-67-5758,C,Naypyitaw,Normal,Male,"Health and beauty",40.35,1,2.02,42.37,40.35,2.02,2019-01-29,13:46:00,Ewallet,6.2
234-03-4040,B,Mandalay,Member,Female,"Food and beverages",73.05,10,36.53,767.03,730.50,36.53,2019-03-03,12:25:00,"Credit card",8.7
234-36-2483,B,Mandalay,Normal,Male,"Health and beauty",57.59,6,17.28,362.82,345.54,17.28,2019-02-15,13:51:00,Cash,5.1
234-65-2137,C,Naypyitaw,Normal,Male,"Home and lifestyle",95.58,10,47.79,1003.59,955.80,47.79,2019-01-16,13:32:00,Cash,4.8
235-06-8510,C,Naypyitaw,Member,Male,"Home and lifestyle",85.72,3,12.86,270.02,257.16,12.86,2019-01-24,20:59:00,Ewallet,5.1
235-46-8343,C,Naypyitaw,Member,Male,"Food and beverages",27.66,10,13.83,290.43,276.60,13.83,2019-02-14,11:26:00,"Credit card",8.9
236-27-1144,C,Naypyitaw,Normal,Female,"Food and beverages",16.31,9,7.34,154.13,146.79,7.34,2019-03-26,10:31:00,Ewallet,8.4
236-86-3015,C,Naypyitaw,Member,Male,"Home and lifestyle",13.98,1,0.70,14.68,13.98,0.70,2019-02-04,13:38:00,Ewallet,9.8
237-01-6122,C,Naypyitaw,Member,Female,"Home and lifestyle",80.79,9,36.36,763.47,727.11,36.36,2019-02-01,20:31:00,"Credit card",9.5
237-44-6163,A,Yangon,Normal,Male,"Electronic accessories",10.56,8,4.22,88.70,84.48,4.22,2019-01-24,17:43:00,Cash,7.6
238-45-6950,B,Mandalay,Member,Male,"Food and beverages",53.72,1,2.69,56.41,53.72,2.69,2019-03-01,20:03:00,Ewallet,6.4
238-49-0436,A,Yangon,Normal,Male,"Health and beauty",32.46,8,12.98,272.66,259.68,12.98,2019-03-27,13:48:00,"Credit card",4.9
239-10-7476,A,Yangon,Normal,Female,"Home and lifestyle",77.95,6,23.39,491.09,467.70,23.39,2019-01-21,16:37:00,Ewallet,8.0
239-36-3640,B,Mandalay,Normal,Male,"Electronic accessories",45.35,6,13.61,285.71,272.10,13.61,2019-01-31,13:44:00,Ewallet,6.1
239-48-4278,A,Yangon,Member,Male,"Food and beverages",10.13,7,3.55,74.46,70.91,3.55,2019-03-10,19:35:00,Ewallet,8.3
241-11-2261,B,Mandalay,Normal,Female,"Fashion accessories",79.86,7,27.95,586.97,559.02,27.95,2019-01-10,10:33:00,"Credit card",5.5
241-72-9525,B,Mandalay,Normal,Male,"Sports and travel",51.91,10,25.96,545.06,519.10,25.96,2019-02-16,12:21:00,Cash,8.2
241-96-5076,B,Mandalay,Member,Female,"Home and lifestyle",49.10,2,4.91,103.11,98.20,4.91,2019-01-08,12:58:00,"Credit card",6.4
242-11-3142,B,Mandalay,Member,Male,"Fashion accessories",83.77,2,8.38,175.92,167.54,8.38,2019-02-24,19:57:00,Cash,4.6
242-55-6721,B,Mandalay,Normal,Male,"Home and lifestyle",16.16,2,1.62,33.94,32.32,1.62,2019-03-07,11:49:00,Ewallet,6.5
243-47-2663,C,Naypyitaw,Member,Male,"Electronic accessories",18.77,6,5.63,118.25,112.62,5.63,2019-01-28,16:43:00,"Credit card",5.5
243-55-8457,A,Yangon,Normal,Female,"Food and beverages",74.44,10,37.22,781.62,744.40,37.22,2019-02-27,11:40:00,Ewallet,5.1
244-08-0162,B,Mandalay,Normal,Female,"Health and beauty",34.21,10,17.11,359.21,342.10,17.11,2019-01-02,13:00:00,Cash,5.1
246-11-3901,C,Naypyitaw,Normal,Female,"Electronic accessories",32.80,10,16.40,344.40,328.00,16.40,2019-02-15,12:12:00,Cash,6.2
246-55-6923,C,Naypyitaw,Member,Female,"Home and lifestyle",35.79,9,16.11,338.22,322.11,16.11,2019-03-10,15:06:00,"Credit card",5.1
247-11-2470,A,Yangon,Member,Female,"Fashion accessories",22.32,4,4.46,93.74,89.28,4.46,2019-03-01,16:23:00,"Credit card",4.4
249-42-3782,A,Yangon,Normal,Male,"Health and beauty",70.01,5,17.50,367.55,350.05,17.50,2019-01-03,11:36:00,Ewallet,5.5
250-17-5703,A,Yangon,Member,Male,"Food and beverages",18.85,10,9.43,197.93,188.50,9.43,2019-02-27,18:24:00,Ewallet,5.6
250-81-7186,C,Naypyitaw,Normal,Female,"Electronic accessories",99.69,1,4.98,104.67,99.69,4.98,2019-02-27,10:23:00,"Credit card",8.0
252-56-2699,A,Yangon,Normal,Male,"Food and beverages",43.19,10,21.60,453.50,431.90,21.60,2019-02-07,16:48:00,Ewallet,8.2
253-12-6086,A,Yangon,Member,Female,"Sports and travel",98.40,7,34.44,723.24,688.80,34.44,2019-03-12,12:43:00,"Credit card",8.7
